PST;Max TemperatureC;Mean TemperatureC;Min TemperatureC;Dew PointC;MeanDew PointC;Min DewpointC;Max Humidity; Mean Humidity; Min Humidity; Max Sea Level PressurehPa; Mean Sea Level PressurehPa; Min Sea Level PressurehPa; Max VisibilityKm; Mean VisibilityKm; Min VisibilitykM; Max Wind SpeedKm/h; Mean Wind SpeedKm/h; Max Gust SpeedKm/h;Precipitationmm; CloudCover; Events;WindDirDegrees
18/02/2005;16;14;12;14;13;11;100;95;78;1009;1008;1007;16;13;5;24;10;37;26.67;6;Rain;84
19/02/2005;14;12;11;13;12;11;100;97;89;1009;1006;1004;16;14;8;24;6;27;10.16;6;Rain;152
20/02/2005;16;13;11;12;11;10;97;88;72;1012;1009;1006;16;16;13;27;16;40;1.52;7;Rain;128
21/02/2005;17;14;11;14;12;11;100;88;72;1011;1006;1004;16;16;14;37;18;45;1.78;6;Rain-Thunderstorm;97
22/02/2005;18;13;9;13;11;9;100;91;70;1014;1012;1011;16;16;16;24;6;;0.00;4;;253
23/02/2005;13;12;12;12;11;10;100;94;87;1019;1017;1014;16;16;14;24;18;;0.00;6;;270
24/02/2005;13;12;12;11;10;9;93;87;83;1021;1020;1019;16;16;16;16;11;;0.00;8;;273
25/02/2005;14;12;11;12;11;9;100;91;81;1019;1017;1016;16;16;16;19;10;;0.00;7;;279
26/02/2005;14;13;12;13;11;11;100;91;83;1018;1017;1016;16;16;13;21;6;;0.00;7;Rain;161
27/02/2005;16;13;11;13;12;11;100;95;78;1020;1017;1014;16;14;4;37;13;53;16.76;7;Rain;155
28/02/2005;16;13;10;13;11;9;100;94;75;1023;1021;1020;16;16;8;24;10;;2.29;3;Rain;106
01/03/2005;17;13;9;13;10;7;100;89;54;1020;1017;1015;16;15;8;32;11;42;7.11;5;Rain;152
02/03/2005;16;12;9;14;12;9;100;95;67;1020;1018;1016;16;14;10;23;8;;0.25;2;;319
03/03/2005;17;12;8;14;11;8;100;94;72;1019;1017;1016;16;15;10;21;5;;8.13;5;Rain;193
04/03/2005;15;13;11;13;12;11;100;98;90;1019;1018;1017;16;14;6;21;11;;4.83;6;Rain;313
05/03/2005;18;13;9;14;13;9;100;95;78;1022;1020;1019;16;15;11;27;11;39;0.00;1;;281
06/03/2005;21;14;9;16;12;8;100;90;63;1022;1021;1020;16;15;11;39;6;;0.00;2;;280
07/03/2005;18;14;10;16;12;10;100;94;83;1023;1022;1020;16;15;13;27;10;;0.00;4;;262
08/03/2005;21;16;10;17;13;10;100;94;72;1023;1022;1021;16;10;2;32;10;;0.00;3;;307
09/03/2005;22;16;11;15;12;11;100;90;61;1024;1023;1021;16;8;0;23;10;;0.00;3;Fog;293
10/03/2005;24;18;12;15;12;8;87;71;46;1021;1016;1013;16;16;13;34;6;;0.00;1;;301
11/03/2005;28;21;14;16;13;10;96;71;37;1016;1015;1014;16;16;14;23;6;;0.00;1;;201
12/03/2005;17;14;13;14;13;12;100;91;83;1018;1017;1016;16;14;10;21;11;;0.00;6;;245
13/03/2005;17;14;12;12;12;11;94;83;70;1018;1017;1016;16;16;16;32;16;39;0.00;4;;269
14/03/2005;21;16;10;12;7;3;96;58;36;1018;1017;1016;16;16;16;39;16;;0.00;1;;6
15/03/2005;23;16;9;13;7;-2;100;61;22;1020;1018;1017;16;16;16;21;6;;0.00;1;;307
16/03/2005;19;14;9;13;9;4;97;76;61;1021;1020;1019;16;16;14;24;8;27;0.00;4;;289
17/03/2005;17;14;11;12;8;5;81;69;52;1020;1016;1013;16;16;14;19;5;;0.00;6;Rain;261
18/03/2005;14;13;12;14;11;5;100;88;53;1013;1009;1007;16;13;6;19;10;;7.62;7;Rain;145
19/03/2005;17;14;12;14;12;10;100;86;65;1013;1009;1005;16;14;5;34;21;47;7.37;7;Rain;208
20/03/2005;16;14;13;13;11;9;87;80;72;1021;1016;1013;16;16;14;42;24;52;3.81;5;Rain;218
21/03/2005;16;13;11;12;11;10;100;91;72;1022;1016;1009;16;13;4;39;16;48;12.70;6;Rain;138
22/03/2005;14;12;10;14;11;8;100;92;83;1008;1007;1004;16;13;4;40;26;58;16.51;8;Rain;237
23/03/2005;14;12;10;9;8;6;96;82;64;1015;1012;1008;16;14;3;42;31;55;3.81;7;Rain;258
24/03/2005;14;12;10;8;8;6;89;76;58;1021;1018;1015;16;16;16;32;13;45;1.02;4;Rain;267
25/03/2005;15;12;9;9;7;5;86;72;53;1025;1023;1022;16;16;16;27;14;32;0.00;2;;285
26/03/2005;17;12;8;12;9;7;97;83;67;1025;1023;1021;16;16;14;19;6;;0.00;5;;305
27/03/2005;17;13;9;13;11;6;100;86;67;1020;1013;1008;16;14;4;42;14;55;13.21;7;Rain;202
28/03/2005;14;12;10;11;8;6;97;76;59;1020;1017;1013;16;16;11;50;26;63;2.03;4;Rain;279
29/03/2005;15;12;10;13;9;6;100;86;58;1023;1020;1018;16;13;3;55;21;69;6.60;5;Rain;269
30/03/2005;17;11;6;11;7;4;93;72;52;1026;1025;1024;16;16;14;35;11;48;0.00;0;;295
31/03/2005;21;14;8;11;8;3;97;69;42;1027;1025;1023;16;16;14;24;5;;0.00;1;;228
01/04/2005;20;14;9;14;10;7;100;80;55;1024;1022;1020;16;16;14;32;10;;0.00;2;;295
02/04/2005;15;13;11;11;9;6;100;81;62;1020;1017;1015;16;16;16;35;23;50;0.00;5;;274
03/04/2005;15;12;8;11;9;8;100;85;65;1015;1014;1011;16;14;3;52;14;64;11.18;7;Rain-Thunderstorm;227
04/04/2005;16;11;8;8;8;7;97;79;62;1025;1021;1015;16;16;16;29;13;45;0.51;2;;295
05/04/2005;22;14;7;13;9;6;96;80;47;1025;1023;1020;16;16;16;29;8;;0.00;0;;281
06/04/2005;19;13;9;13;10;5;93;79;51;1021;1016;1012;16;16;14;34;10;37;0.00;3;;250
07/04/2005;16;13;11;12;9;6;100;79;62;1020;1017;1013;16;15;8;35;19;48;3.81;5;Rain;269
08/04/2005;16;12;9;13;9;6;100;87;67;1020;1016;1013;16;11;2;45;23;60;11.94;7;Rain;235
09/04/2005;17;13;9;11;10;9;100;84;67;1022;1019;1016;16;16;11;39;26;53;1.27;3;Rain;298
10/04/2005;19;13;8;12;10;8;100;83;62;1022;1021;1021;16;16;14;42;16;50;0.00;2;;270
11/04/2005;16;13;10;12;10;7;96;86;77;1022;1021;1019;16;16;16;42;31;50;0.00;3;;271
12/04/2005;16;12;9;9;7;5;83;73;55;1020;1019;1017;16;16;16;35;21;45;0.00;1;;281
13/04/2005;15;11;8;6;5;3;77;65;49;1027;1023;1019;16;16;16;42;19;52;0.00;1;Rain;295
14/04/2005;17;12;8;9;5;2;89;64;46;1027;1023;1020;16;16;16;39;18;48;0.00;0;;298
15/04/2005;19;13;8;12;9;7;100;82;52;1021;1019;1016;16;16;13;35;18;;0.00;1;;283
16/04/2005;18;14;10;13;12;10;100;93;65;1018;1017;1016;16;12;2;39;27;60;0.00;5;;276
17/04/2005;17;13;10;12;9;7;100;79;57;1019;1018;1016;16;15;6;52;29;69;0.00;3;;275
18/04/2005;17;13;9;8;7;5;86;71;52;1019;1017;1014;16;16;14;55;24;74;0.00;1;;277
19/04/2005;20;15;10;9;6;2;92;62;33;1016;1015;1014;16;16;16;29;19;34;0.00;1;;286
20/04/2005;17;13;9;9;9;8;96;81;62;1021;1019;1016;16;16;13;29;14;39;0.00;2;;258
21/04/2005;22;15;9;13;9;8;97;77;52;1020;1018;1016;16;16;16;32;13;;0.00;2;;293
22/04/2005;23;17;11;13;9;7;84;64;44;1016;1013;1010;16;16;16;66;18;82;T;4;;191
23/04/2005;19;16;12;12;10;8;89;75;60;1015;1013;1012;16;16;16;34;16;42;T;5;Rain;161
24/04/2005;18;15;12;11;10;9;89;75;60;1019;1016;1013;16;16;14;27;13;39;T;5;Rain;233
25/04/2005;18;14;9;10;9;8;96;76;56;1020;1019;1017;16;16;16;34;14;39;0.00;3;;276
26/04/2005;22;16;9;11;9;7;89;71;52;1019;1016;1013;16;16;16;34;12;40;0.00;5;;275
27/04/2005;18;15;11;11;8;6;75;64;52;1014;1013;1012;16;16;14;39;15;52;1.02;6;Rain;179
28/04/2005;18;15;12;11;10;8;93;79;65;1019;1014;1012;16;15;10;29;13;39;13.72;5;Rain;306
29/04/2005;18;15;12;9;9;7;83;68;52;1023;1022;1020;16;16;16;45;17;52;0.00;4;;269
30/04/2005;18;14;11;13;9;8;93;75;56;1022;1020;1018;16;16;16;29;12;37;0.00;5;;269
01/05/2005;21;16;12;10;9;7;89;69;48;1019;1019;1018;16;16;16;29;13;39;0.00;3;;276
02/05/2005;20;16;12;11;10;8;89;69;48;1020;1019;1018;16;16;16;39;20;48;0.00;2;;274
03/05/2005;19;16;12;12;11;10;86;75;63;1021;1019;1017;16;16;16;34;18;42;0.00;4;;269
04/05/2005;20;17;13;15;13;12;93;83;73;1018;1015;1013;16;15;11;24;10;32;5.33;7;Rain;265
05/05/2005;18;16;12;13;12;11;100;82;63;1014;1012;1010;16;16;13;27;15;37;4.06;6;Rain;270
06/05/2005;19;17;13;11;10;9;86;69;52;1017;1015;1014;16;16;16;34;18;40;0.00;5;;262
07/05/2005;19;16;12;11;9;8;86;69;52;1018;1017;1016;16;16;16;32;12;39;T;5;;246
08/05/2005;17;16;13;13;12;9;93;80;67;1016;1013;1009;16;15;6;47;19;61;6.86;7;Rain;160
09/05/2005;17;15;12;10;8;6;83;66;48;1018;1015;1011;16;16;10;37;19;48;4.32;5;Rain-Thunderstorm;249
10/05/2005;18;15;11;9;8;6;83;67;51;1021;1019;1018;16;16;16;52;25;61;0.00;2;;282
11/05/2005;20;16;11;12;9;8;83;66;49;1020;1018;1017;16;16;16;47;18;52;0.00;1;;281
12/05/2005;21;17;12;12;11;10;89;72;55;1018;1017;1016;16;16;16;42;23;52;0.00;4;;278
13/05/2005;19;16;12;12;11;9;89;73;56;1017;1017;1015;16;16;16;50;23;61;0.00;4;;279
14/05/2005;20;17;14;14;13;11;90;79;68;1018;1017;1016;16;15;8;50;23;58;0.00;4;;275
15/05/2005;22;19;15;15;14;14;93;80;66;1016;1014;1012;16;15;6;32;15;37;T;7;;277
16/05/2005;19;16;13;14;11;8;93;71;48;1014;1012;1011;16;15;11;56;31;64;T;4;Rain;275
17/05/2005;19;16;13;9;8;7;77;63;48;1014;1013;1011;16;16;16;27;12;34;T;6;Rain;228
18/05/2005;20;18;16;17;14;8;93;77;60;1014;1011;1010;16;10;2;45;26;66;3.81;7;Rain;171
19/05/2005;19;17;14;15;14;12;93;81;68;1017;1016;1014;16;12;3;27;13;34;4.83;7;Fog-Rain;292
20/05/2005;21;17;13;12;11;9;86;68;49;1020;1019;1017;16;16;16;47;27;60;0.00;3;;278
21/05/2005;22;17;12;12;9;7;89;66;42;1020;1019;1017;16;16;16;53;23;66;0.00;1;;287
22/05/2005;21;17;12;12;10;8;80;67;53;1019;1017;1015;16;16;14;60;33;72;0.00;0;;278
23/05/2005;21;16;11;11;9;8;83;65;47;1016;1014;1013;16;14;13;47;22;53;0.00;1;;282
24/05/2005;26;18;11;14;9;7;89;60;30;1014;1013;1011;16;14;10;35;15;39;0.00;1;;302
25/05/2005;22;18;13;14;12;10;86;70;53;1014;1013;1012;16;14;11;39;19;47;0.00;0;;305
26/05/2005;20;16;12;13;11;11;93;78;63;1015;1013;1012;16;15;13;42;19;50;0.00;3;;293
27/05/2005;18;16;13;11;11;10;86;75;63;1013;1012;1011;16;16;13;40;21;48;0.00;5;;270
28/05/2005;18;16;13;11;10;7;80;64;48;1016;1014;1012;16;16;16;35;23;50;0.00;4;;263
29/05/2005;20;17;13;11;10;8;83;66;48;1017;1016;1015;16;16;16;42;25;50;0.00;3;;267
30/05/2005;22;18;13;14;11;10;86;70;53;1016;1015;1013;16;16;14;45;18;53;0.00;3;;277
31/05/2005;21;17;13;12;11;9;86;72;57;1015;1014;1012;16;15;11;52;24;60;0.00;3;;284
01/06/2005;22;17;12;10;9;9;83;64;44;1013;1011;1009;16;15;13;48;29;60;0.00;0;;282
02/06/2005;19;16;12;9;9;8;83;68;52;1011;1010;1009;16;14;11;42;26;50;0.00;0;;284
03/06/2005;18;15;11;9;9;8;89;73;56;1013;1011;1010;16;14;11;48;27;58;0.00;1;;279
04/06/2005;19;15;11;9;8;8;83;68;52;1012;1011;1010;16;15;13;66;29;82;0.00;1;;278
05/06/2005;18;14;11;8;7;5;77;62;46;1015;1014;1011;16;16;16;76;45;93;0.00;1;;279
06/06/2005;18;14;11;9;7;6;77;63;48;1019;1017;1015;16;16;16;58;36;66;0.00;2;;275
07/06/2005;18;14;10;9;8;6;83;66;48;1019;1018;1017;16;16;16;48;24;60;0.00;2;;272
08/06/2005;18;17;14;14;13;10;93;83;73;1016;1015;1014;16;12;4;26;14;29;1.52;7;Rain;226
09/06/2005;19;17;13;14;13;11;93;78;63;1015;1014;1013;16;14;4;48;20;58;3.81;6;Rain;270
10/06/2005;19;16;12;12;12;10;100;79;58;1015;1013;1010;16;15;8;58;30;66;0.00;4;;275
11/06/2005;21;16;12;12;10;9;93;73;53;1011;1010;1010;16;14;5;53;27;63;0.00;2;;272
12/06/2005;24;17;11;13;9;8;89;65;41;1013;1012;1011;16;15;13;45;20;50;0.00;0;;302
13/06/2005;27;19;12;14;11;8;83;61;39;1014;1013;1011;16;16;14;48;19;61;0.00;1;;292
14/06/2005;19;16;12;10;8;8;83;66;48;1011;1010;1009;16;16;13;61;32;72;0.00;1;;281
15/06/2005;20;16;11;10;8;7;83;66;48;1013;1012;1010;16;16;14;42;22;53;0.00;3;;280
16/06/2005;18;16;13;13;11;9;86;73;60;1013;1012;1012;16;14;4;39;17;48;1.27;6;Rain;201
17/06/2005;21;17;13;11;9;7;86;66;45;1014;1013;1012;16;16;16;32;17;42;0.00;4;;217
18/06/2005;22;18;14;12;11;9;86;67;47;1015;1014;1013;16;16;10;32;14;39;1.02;4;Rain;222
19/06/2005;22;17;13;12;11;9;86;67;47;1016;1015;1013;16;16;14;35;16;40;0.00;2;;284
20/06/2005;22;18;13;12;11;9;86;67;47;1017;1016;1015;16;16;16;39;19;48;0.00;2;;277
21/06/2005;21;18;14;12;11;10;86;69;51;1019;1017;1015;16;16;16;48;23;58;0.00;2;;275
22/06/2005;21;17;13;12;12;11;86;72;57;1016;1015;1013;16;16;16;39;25;48;0.00;3;;271
23/06/2005;22;18;13;12;11;11;80;69;57;1014;1014;1013;16;16;13;39;15;53;0.00;4;;239
24/06/2005;22;18;14;12;11;10;80;66;51;1015;1014;1012;16;16;16;34;18;45;0.00;2;;228
25/06/2005;21;17;13;12;11;9;80;68;55;1013;1012;1012;16;16;16;39;17;45;0.00;5;;238
26/06/2005;21;17;13;13;11;10;86;72;57;1013;1012;1011;16;16;16;39;19;48;0.00;5;;253
27/06/2005;21;17;14;13;11;9;87;73;59;1014;1013;1012;16;16;11;34;20;42;0.00;6;;268
28/06/2005;23;18;13;14;12;12;93;75;57;1015;1014;1013;16;16;14;34;17;40;T;4;Fog;273
29/06/2005;25;18;13;14;12;11;94;78;53;1014;1012;1011;16;14;8;37;13;;0.00;2;Fog;305
30/06/2005;22;18;13;13;12;12;93;75;57;1013;1012;1011;16;16;14;39;22;47;0.00;1;Fog;295
01/07/2005;21;17;12;12;12;11;93;75;57;1013;1012;1011;16;16;13;39;20;45;0.00;1;Fog;304
02/07/2005;22;17;12;12;11;10;93;73;53;1013;1012;1011;16;15;13;37;16;47;0.00;1;;309
03/07/2005;20;17;13;11;11;10;86;72;58;1014;1013;1012;16;15;14;40;20;48;0.00;1;;296
04/07/2005;22;17;13;11;11;10;86;70;53;1015;1014;1014;16;15;8;37;20;45;0.00;1;;293
05/07/2005;18;16;12;12;11;10;86;73;60;1016;1015;1014;16;16;13;37;21;47;0.00;4;;256
06/07/2005;22;18;13;13;12;11;93;77;61;1014;1014;1012;16;16;14;63;27;79;0.00;4;Fog;276
07/07/2005;21;17;13;12;11;10;86;70;53;1016;1015;1014;16;16;16;53;25;61;0.00;4;Fog;264
08/07/2005;22;18;13;15;13;11;90;72;53;1016;1015;1015;16;14;2;45;25;53;T;5;;267
09/07/2005;21;18;15;14;13;12;90;76;61;1016;1015;1015;16;16;13;50;25;61;0.00;6;;263
10/07/2005;24;20;16;16;14;11;90;70;49;1017;1016;1014;16;15;8;40;23;50;0.00;4;;274
11/07/2005;23;19;14;14;13;12;93;73;53;1015;1015;1013;16;14;5;50;27;58;0.00;2;;291
12/07/2005;26;20;13;16;12;11;93;69;45;1015;1014;1013;16;16;14;45;23;50;0.00;0;;303
13/07/2005;23;18;13;14;12;11;86;70;53;1014;1013;1011;16;15;13;32;18;39;0.00;0;;300
14/07/2005;24;19;13;14;13;12;86;70;53;1013;1011;1009;16;15;11;40;18;47;0.00;1;Fog;302
15/07/2005;23;18;13;13;12;11;93;73;53;1012;1010;1009;16;16;14;37;22;45;0.00;1;Fog;299
16/07/2005;25;19;13;14;12;11;86;67;47;1011;1010;1009;16;16;13;39;17;45;0.00;0;;305
17/07/2005;24;19;14;14;13;12;93;75;57;1012;1011;1010;16;15;11;40;19;50;0.00;1;;299
18/07/2005;22;18;14;14;13;12;93;77;61;1012;1011;1010;16;16;13;45;22;50;0.00;2;;297
19/07/2005;22;18;14;14;13;13;93;77;61;1011;1010;1009;16;16;16;47;21;53;0.00;3;;291
20/07/2005;22;18;14;13;13;12;93;77;61;1012;1011;1010;16;16;13;39;20;47;0.00;4;Fog;300
21/07/2005;23;19;14;14;13;12;93;73;53;1014;1013;1011;16;16;16;35;18;45;0.00;4;Fog;279
22/07/2005;22;19;16;13;13;12;84;69;53;1015;1014;1013;16;16;16;37;20;45;0.00;3;;283
23/07/2005;32;23;14;17;13;12;86;61;36;1014;1012;1011;16;16;14;42;14;48;0.00;0;;300
24/07/2005;24;19;15;14;13;12;84;69;53;1014;1013;1012;16;15;11;35;20;42;0.00;0;;301
25/07/2005;20;17;13;12;11;11;86;71;55;1014;1013;1011;16;14;11;39;26;48;0.00;1;;296
26/07/2005;21;17;12;14;12;11;93;75;57;1013;1012;1011;16;14;13;40;21;48;0.00;0;;296
27/07/2005;21;17;13;13;12;12;93;75;57;1014;1013;1011;16;15;11;42;20;50;0.00;3;Fog;302
28/07/2005;21;17;13;13;12;12;93;76;59;1014;1013;1011;16;16;13;37;23;47;0.00;3;Fog;298
29/07/2005;21;18;14;13;12;12;86;74;61;1015;1014;1013;16;15;11;40;21;48;0.00;3;Fog;299
30/07/2005;22;18;14;13;12;12;86;72;57;1017;1016;1014;16;16;13;42;22;50;0.00;2;;298
31/07/2005;22;17;13;13;12;12;93;75;57;1017;1015;1013;16;16;13;42;22;50;0.00;2;;298
01/08/2005;23;18;13;13;12;11;93;70;46;1015;1014;1012;16;16;13;48;24;56;0.00;1;;299
02/08/2005;21;17;13;13;12;11;93;76;59;1014;1013;1013;16;15;13;40;22;50;0.00;1;;299
03/08/2005;22;18;14;13;13;12;93;75;57;1015;1014;1013;16;14;11;40;19;48;0.00;3;Fog;302
04/08/2005;22;18;13;14;13;12;93;75;57;1016;1015;1013;16;15;8;42;19;50;0.00;3;Fog;303
05/08/2005;22;17;12;14;12;11;93;73;53;1016;1015;1013;16;16;13;40;21;50;0.00;1;Fog;303
06/08/2005;22;17;13;13;12;12;93;75;57;1016;1014;1012;16;16;11;40;22;48;0.00;1;;300
07/08/2005;20;17;13;13;12;12;93;78;63;1014;1013;1011;16;15;13;45;25;53;0.00;2;;298
08/08/2005;20;17;13;12;12;12;93;78;63;1014;1013;1012;16;15;13;45;23;52;0.00;3;;295
09/08/2005;21;17;13;13;12;12;93;77;61;1015;1014;1013;16;15;11;39;22;47;0.00;5;;300
10/08/2005;21;17;13;13;12;11;93;77;61;1017;1015;1015;16;14;6;35;16;42;0.00;3;Fog;311
11/08/2005;23;18;12;12;12;11;86;68;49;1016;1014;1012;16;14;11;39;20;48;0.00;2;;300
12/08/2005;23;19;14;14;12;11;86;70;53;1013;1011;1010;16;15;11;39;17;47;0.00;1;;303
13/08/2005;21;17;13;12;11;11;86;71;55;1013;1012;1011;16;16;14;37;18;42;0.00;5;;252
14/08/2005;22;18;13;13;12;11;93;75;57;1013;1012;1011;16;16;16;35;17;48;0.00;5;;247
15/08/2005;22;18;14;13;12;11;86;72;57;1015;1014;1012;16;16;16;35;15;42;0.00;6;;247
16/08/2005;22;17;13;13;13;12;93;75;57;1016;1015;1013;16;15;11;40;23;47;0.00;4;;294
17/08/2005;20;17;13;12;12;11;93;76;59;1014;1013;1010;16;16;16;37;19;45;0.00;4;Fog;296
18/08/2005;22;18;13;13;12;11;86;72;57;1014;1012;1011;16;16;16;35;14;47;0.00;5;Fog;263
19/08/2005;19;17;13;13;12;11;93;78;63;1016;1014;1013;16;16;11;37;20;45;0.00;6;Fog;272
20/08/2005;18;16;13;12;12;11;93;80;67;1018;1016;1016;16;15;10;39;22;50;0.00;6;;277
21/08/2005;18;16;13;12;12;11;93;80;67;1019;1017;1015;16;16;13;40;19;50;0.00;5;;283
22/08/2005;20;16;12;12;11;11;93;76;58;1015;1012;1010;16;16;11;42;19;52;0.00;3;;299
23/08/2005;21;16;11;13;11;10;100;79;57;1010;1009;1007;16;12;1;35;16;45;0.00;3;Fog;299
24/08/2005;23;18;12;13;12;10;86;68;49;1011;1009;1008;16;16;16;23;9;37;0.00;1;;278
25/08/2005;21;18;14;12;11;11;80;67;53;1015;1014;1011;16;15;14;39;16;42;0.00;3;;289
26/08/2005;22;17;12;12;11;10;93;72;51;1018;1016;1014;16;14;10;40;23;50;0.00;1;Fog;293
27/08/2005;24;18;12;12;11;10;93;70;46;1016;1014;1012;16;16;13;39;21;45;0.00;0;;297
28/08/2005;22;17;12;13;11;10;93;73;53;1013;1012;1010;16;16;13;42;21;48;0.00;1;;300
29/08/2005;22;18;13;13;11;9;93;69;44;1013;1012;1011;16;16;16;50;23;63;0.00;0;;280
30/08/2005;31;22;13;13;9;3;77;48;19;1012;1011;1009;16;16;16;35;10;42;0.00;0;;296
31/08/2005;32;23;14;17;12;6;84;63;31;1011;1010;1009;16;16;13;34;11;;0.00;0;;300
01/09/2005;22;18;13;14;12;11;87;72;57;1012;1011;1010;16;16;13;34;15;40;0.00;3;;300
02/09/2005;20;17;14;12;12;11;86;75;63;1013;1012;1011;16;16;14;39;17;48;0.00;3;Fog;299
03/09/2005;19;16;13;12;11;11;93;78;63;1016;1015;1013;16;16;13;39;18;47;0.00;3;;282
04/09/2005;20;16;12;11;11;9;86;72;58;1018;1016;1015;16;16;16;35;18;42;0.00;1;;279
05/09/2005;23;18;13;12;11;10;86;68;49;1017;1016;1015;16;16;16;34;16;42;0.00;0;;296
06/09/2005;19;16;12;12;11;10;89;74;58;1017;1016;1015;16;16;14;42;17;48;0.00;2;;282
07/09/2005;19;16;12;12;11;9;89;76;63;1016;1015;1014;16;16;13;35;13;42;0.00;4;;247
08/09/2005;22;18;15;13;12;11;80;67;53;1014;1013;1011;16;16;16;37;19;47;0.00;6;;196
09/09/2005;18;16;14;13;12;10;84;76;67;1015;1013;1012;16;16;16;29;15;39;0.00;5;;256
10/09/2005;21;17;12;12;11;8;86;65;44;1015;1014;1013;16;16;14;50;21;63;0.00;2;;271
11/09/2005;19;17;13;12;11;11;80;69;58;1017;1016;1014;16;16;14;45;23;52;0.00;2;;270
12/09/2005;19;16;12;12;10;9;89;75;60;1020;1018;1017;16;16;16;37;20;45;0.00;3;;274
13/09/2005;19;16;12;11;9;9;89;73;56;1018;1017;1016;16;16;16;35;18;45;0.00;5;;265
14/09/2005;16;14;13;11;11;10;86;78;69;1020;1018;1017;16;16;16;35;18;45;0.00;6;;258
15/09/2005;18;16;12;11;11;10;86;75;63;1018;1016;1014;16;16;16;39;15;45;0.00;5;;272
16/09/2005;19;16;12;14;11;9;90;73;56;1019;1018;1016;16;16;16;53;23;66;0.00;3;;246
17/09/2005;19;16;13;14;11;10;93;78;63;1020;1017;1015;16;16;14;45;22;52;0.00;4;;273
18/09/2005;23;17;11;13;11;9;93;71;49;1015;1014;1013;16;16;14;47;16;52;0.00;2;;294
19/09/2005;27;19;11;14;11;9;96;68;39;1016;1015;1013;16;16;13;37;13;42;0.00;1;;290
20/09/2005;19;16;13;13;12;11;87;75;63;1018;1016;1015;16;15;11;26;9;29;2.03;4;Rain-Thunderstorm;301
21/09/2005;21;17;12;13;12;11;93;75;57;1018;1017;1015;16;12;4;37;17;45;0.00;3;Fog;299
22/09/2005;19;16;11;12;11;9;96;80;63;1015;1014;1011;16;14;6;47;19;52;0.00;4;Fog;290
23/09/2005;18;15;12;10;9;8;83;70;56;1013;1011;1011;16;16;14;56;20;64;0.00;2;;256
24/09/2005;23;17;10;11;8;3;83;56;29;1014;1012;1011;16;16;16;35;12;42;0.00;1;;289
25/09/2005;28;19;10;11;8;3;83;56;28;1014;1012;1011;16;16;16;32;9;37;0.00;2;;295
26/09/2005;21;18;14;13;11;8;86;72;57;1017;1014;1013;16;16;14;39;16;45;0.00;3;;291
27/09/2005;22;18;13;12;11;10;86;70;53;1021;1019;1017;16;16;14;42;18;50;0.00;1;;287
28/09/2005;29;21;12;16;12;9;93;64;34;1020;1017;1015;16;16;11;37;12;45;0.00;0;;308
29/09/2005;28;21;13;16;12;9;86;62;38;1015;1013;1011;16;15;13;40;13;42;0.00;0;;299
30/09/2005;28;21;13;15;12;9;90;63;35;1011;1010;1008;16;16;14;47;16;53;0.00;1;;295
01/10/2005;22;18;14;16;14;11;97;83;68;1013;1012;1011;16;16;10;40;22;48;0.00;6;;280
02/10/2005;21;17;12;13;11;8;87;68;48;1015;1013;1012;16;16;16;53;27;61;0.00;4;;280
03/10/2005;19;16;12;12;9;6;89;66;42;1019;1017;1016;16;16;16;50;26;66;0.00;2;;279
04/10/2005;20;16;11;10;7;4;89;63;37;1021;1019;1017;16;16;16;40;18;48;0.00;0;;290
05/10/2005;27;18;10;10;7;1;72;45;18;1017;1016;1014;16;16;16;37;10;47;0.00;1;;287
06/10/2005;23;17;12;13;11;6;93;76;58;1014;1013;1011;16;16;14;45;16;50;0.00;1;;296
07/10/2005;19;15;11;12;10;8;93;75;56;1011;1010;1008;16;15;11;58;24;74;0.00;3;;275
08/10/2005;18;15;12;10;9;9;83;70;56;1015;1012;1009;16;16;14;60;36;72;0.00;2;;273
09/10/2005;24;17;9;11;9;7;83;61;38;1017;1015;1014;16;16;16;39;14;45;0.00;0;;280
10/10/2005;26;18;11;14;10;7;86;61;36;1016;1014;1013;16;16;13;35;12;40;0.00;0;;296
11/10/2005;18;14;11;11;10;9;89;77;65;1016;1015;1014;16;15;11;39;16;48;0.00;2;;279
12/10/2005;22;17;11;14;11;8;100;82;63;1017;1016;1016;16;9;0;35;13;45;0.00;2;Fog;259
13/10/2005;27;19;11;14;11;9;89;63;36;1019;1017;1015;16;16;13;24;9;27;0.00;0;;297
14/10/2005;20;16;11;13;11;8;89;75;60;1016;1015;1014;16;16;13;48;19;56;T;5;Fog;265
15/10/2005;19;16;12;13;11;9;93;77;60;1017;1016;1012;16;15;6;50;20;60;0.76;4;Rain;282
16/10/2005;27;19;10;9;7;4;77;51;25;1014;1012;1011;16;16;16;32;8;37;0.00;1;;280
17/10/2005;28;21;13;14;8;4;73;48;23;1013;1011;1008;16;16;16;32;9;39;0.00;2;;291
18/10/2005;20;18;16;13;12;8;81;71;47;1017;1014;1011;16;16;13;26;13;37;0.00;6;Fog-Rain;185
19/10/2005;21;17;13;13;12;11;86;71;55;1022;1020;1018;16;16;16;34;16;39;T;7;Fog;243
20/10/2005;19;16;12;12;11;10;93;78;63;1022;1020;1018;16;15;13;40;14;45;0.00;6;;287
21/10/2005;19;15;11;12;11;10;100;79;58;1019;1017;1015;16;11;1;37;16;45;0.00;3;Fog;299
